"question_key","bank_id","question_id","category_id","level_key","prompt","answer","explanation","status","source_status","random_order","order_key"
"B2026-08-18|NE-001","B2026-08-18","NE-001","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué estructura cerebral es especialmente importante para la formación de nuevos recuerdos episódicos?","El hipocampo.","El hipocampo participa de forma crucial en la consolidación de nuevos recuerdos declarativos y episódicos.","retired","administrada","1","B2026-08-18|000001|NE-001"
"B2026-08-18|NE-002","B2026-08-18","NE-002","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿En qué lóbulo cerebral se encuentra principalmente la corteza visual primaria?","En el lóbulo occipital.","La corteza visual primaria se sitúa alrededor de la cisura calcarina del lóbulo occipital.","retired","administrada","7","B2026-08-18|000007|NE-002"
"B2026-08-18|NE-003","B2026-08-18","NE-003","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué estructura del encéfalo interviene de manera esencial en la coordinación motora y el equilibrio?","El cerebelo.","El cerebelo integra información sensorial y motora para afinar movimientos y mantener el equilibrio.","active","no administrada","18","B2026-08-18|000018|NE-003"
"B2026-08-18|NE-004","B2026-08-18","NE-004","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Cómo se llama la unión funcional mediante la que una neurona se comunica con otra célula?","Sinapsis.","En una sinapsis la señal puede transmitirse de forma química o eléctrica entre células.","retired","administrada","6","B2026-08-18|000006|NE-004"
"B2026-08-18|NE-005","B2026-08-18","NE-005","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Cómo se llama la sustancia rica en lípidos que forma una vaina aislante alrededor de muchos axones?","Mielina.","La mielina acelera la conducción de los impulsos nerviosos a lo largo de los axones.","retired","administrada","2","B2026-08-18|000002|NE-005"
"B2026-08-18|NE-006","B2026-08-18","NE-006","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué área cerebral, situada habitualmente en el hemisferio izquierdo, se asocia clásicamente con la producción del lenguaje?","El área de Broca.","Las lesiones en esta región pueden producir una afasia caracterizada por habla poco fluida.","retired","administrada","5","B2026-08-18|000005|NE-006"
"B2026-08-18|NE-007","B2026-08-18","NE-007","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué lóbulo cerebral alberga la corteza somatosensorial primaria?","El lóbulo parietal.","La corteza somatosensorial primaria se localiza en el giro poscentral del lóbulo parietal y procesa información táctil y propioceptiva.","retired","administrada","3","B2026-08-18|000003|NE-007"
"B2026-08-18|NE-008","B2026-08-18","NE-008","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Cómo se llama el gran haz de fibras nerviosas que conecta los dos hemisferios cerebrales?","El cuerpo calloso.","El cuerpo calloso permite el intercambio de información entre amplias regiones de ambos hemisferios.","retired","administrada","8","B2026-08-18|000008|NE-008"
"B2026-08-18|NE-009","B2026-08-18","NE-009","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué división del sistema nervioso autónomo activa la respuesta de «lucha o huida»?","El sistema nervioso simpático.","La activación simpática prepara al organismo para responder a situaciones de demanda o amenaza.","active","no administrada","16","B2026-08-18|000016|NE-009"
"B2026-08-18|NE-010","B2026-08-18","NE-010","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué neurotransmisor está especialmente relacionado con las neuronas de la sustancia negra que degeneran en la enfermedad de Parkinson?","La dopamina.","La pérdida de neuronas dopaminérgicas de la sustancia negra altera los circuitos motores de los ganglios basales.","active","no administrada","12","B2026-08-18|000012|NE-010"
"B2026-08-18|NE-011","B2026-08-18","NE-011","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué células gliales producen mielina en el sistema nervioso central?","Los oligodendrocitos.","Un oligodendrocito puede mielinizar segmentos de varios axones dentro del sistema nervioso central.","active","no administrada","14","B2026-08-18|000014|NE-011"
"B2026-08-18|NE-012","B2026-08-18","NE-012","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué parte del tronco encefálico contiene centros esenciales para funciones automáticas como la respiración y el control cardiovascular?","El bulbo raquídeo o médula oblonga.","El bulbo contiene circuitos esenciales para funciones vitales involuntarias.","retired","administrada","9","B2026-08-18|000009|NE-012"
"B2026-08-18|NE-013","B2026-08-18","NE-013","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Qué estructura cerebral regula numerosas funciones de homeostasis, como hambre, sed, temperatura corporal y control endocrino?","El hipotálamo.","El hipotálamo integra señales internas y regula respuestas autonómicas y hormonales.","active","no administrada","20","B2026-08-18|000020|NE-013"
"B2026-08-18|NE-014","B2026-08-18","NE-014","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿Cómo se llaman las principales células inmunitarias residentes del sistema nervioso central?","Microglía.","La microglía vigila el entorno neural y participa en respuestas inmunitarias y en la eliminación de restos celulares.","active","no administrada","13","B2026-08-18|000013|NE-014"
"B2026-08-18|NE-015","B2026-08-18","NE-015","NE","S_DIFICULTAD_TRIVIAL_V1|AUT","¿Qué trabajador ferroviario del siglo XIX se convirtió en un caso clásico de neurociencia tras sobrevivir a una lesión grave del lóbulo frontal que alteró su conducta?","Phineas Gage.","Su caso fue históricamente importante para relacionar regiones frontales con personalidad y control de la conducta.","active","no administrada","19","B2026-08-18|000019|NE-015"
"B2026-08-18|NE-016","B2026-08-18","NE-016","NE","S_DIFICULTAD_TRIVIAL_V1|AUT","¿Con qué iniciales se conoce al paciente estudiado durante décadas tras una cirugía cerebral que le produjo una amnesia anterógrada profunda?","H. M.","El paciente Henry Molaison, conocido como H. M., mostró la importancia del lóbulo temporal medial para formar nuevos recuerdos declarativos.","active","no administrada","15","B2026-08-18|000015|NE-016"
"B2026-08-18|NE-017","B2026-08-18","NE-017","NE","S_DIFICULTAD_TRIVIAL_V1|AUT","¿Qué neurocientífico recibió el Nobel por sus estudios sobre pacientes con el cerebro dividido tras la sección del cuerpo calloso?","Roger Sperry.","Sperry estudió la especialización hemisférica en pacientes sometidos a comisurotomía.","retired","administrada","10","B2026-08-18|000010|NE-017"
"B2026-08-18|NE-018","B2026-08-18","NE-018","NE","S_DIFICULTAD_TRIVIAL_V1|AUT","¿Qué función principal se asocia al área 17 de Brodmann?","La visión primaria.","El área 17 corresponde aproximadamente a la corteza visual primaria o V1.","retired","administrada","11","B2026-08-18|000011|NE-018"
"B2026-08-18|NE-019","B2026-08-18","NE-019","NE","S_DIFICULTAD_TRIVIAL_V1|NIC","¿Cómo se llama el aumento duradero de la eficacia sináptica tras una estimulación intensa o repetida, considerado un mecanismo celular importante del aprendizaje y la memoria?","Potenciación a largo plazo (LTP).","La LTP fue caracterizada clásicamente en el hipocampo y se usa como modelo de plasticidad sináptica.","retired","administrada","4","B2026-08-18|000004|NE-019"
"B2026-08-18|NE-020","B2026-08-18","NE-020","NE","S_DIFICULTAD_TRIVIAL_V1|NIC","¿Qué pequeño núcleo del tronco encefálico es la principal fuente de noradrenalina para gran parte del cerebro?","El locus coeruleus.","Las neuronas del locus coeruleus proyectan ampliamente y modulan alerta, atención y respuestas al estrés.","active","no administrada","17","B2026-08-18|000017|NE-020"
"B2026-08-18|NE-021","B2026-08-18","NE-021","NE","S_DIFICULTAD_TRIVIAL_V1|CUR","¿En qué lóbulo cerebral se localiza principalmente la corteza auditiva primaria?","En el lóbulo temporal.","La corteza auditiva primaria se sitúa en regiones superiores del lóbulo temporal y procesa rasgos básicos del sonido.","active","no administrada","21","B2026-08-18|000021|NE-021"
